galaxy,n_halo_pts,chi2_phi_core,chi2_ISO,chi2_NFW_c10,chi2_NFW_cfree,hp_ratio,hp_pull
UGC09037,19,1.219087,1.310062,4.056911,4.310468,0.677069,-0.6377
UGC09133,68,15.730491,14.183892,18.852045,19.141508,0.694143,-0.5471
UGC09992,5,0.013852,0.014637,0.023194,0.034791,,
UGC10310,7,0.17179,0.352133,0.726644,0.908305,0.68535,-0.2765
UGC11455,33,5.323457,5.140641,5.912916,6.110013,0.684302,-0.274
UGC11557,7,1.886546,1.887113,2.233323,2.791655,,
UGC11820,10,11.343869,8.907631,1.731846,1.979067,0.711956,0.3734
UGC11914,65,6.693108,6.620245,11.560383,11.746841,0.567205,-0.9149
UGC12506,31,0.477531,0.400093,0.21757,0.225341,0.720105,0.1063
UGC12632,15,0.075271,0.161383,0.407592,0.441558,0.704942,-0.046
UGC12732,16,1.252799,0.596913,0.258463,0.275168,0.696391,-0.1996
UGCA281,7,0.176067,0.213045,0.791415,0.989269,0.713615,0.1445
UGCA442,8,0.999821,1.021049,2.56662,3.079944,0.686519,-0.6461
UGCA444,36,0.302917,0.246089,0.078102,0.0813,0.636049,-0.8553
